"Week_Start","Store","Day","Forecast","Week_ID"
"2014-02-01","richmond",6,80,2
"2014-02-01","richmond",7,82,2
"2014-02-08","richmond",1,76,3
"2014-02-08","richmond",2,88,3
"2014-02-08","richmond",3,84,3
"2014-02-08","richmond",4,78,3
"2014-02-08","richmond",5,77,3
"2014-02-08","richmond",6,77,3
"2014-02-08","richmond",7,80,3
"2014-02-15","richmond",1,74,4
"2014-02-15","richmond",2,73,4
"2014-02-15","richmond",3,78,4
"2014-02-15","richmond",4,76,4
"2014-02-15","richmond",5,76,4
"2014-02-15","richmond",6,77,4
"2014-02-15","richmond",7,79,4
"2014-02-22","richmond",1,66,5
"2014-02-22","richmond",2,85,5
"2014-02-22","richmond",3,79,5
"2014-02-22","richmond",4,85,5
"2014-02-22","richmond",5,83,5
"2014-02-22","richmond",6,84,5
"2014-02-22","richmond",7,85,5
"2014-03-01","richmond",1,60,6
"2014-03-01","richmond",2,71,6
"2014-03-01","richmond",3,78,6
"2014-03-01","richmond",4,75,6
"2014-03-01","richmond",5,73,6
"2014-03-01","richmond",6,73,6
"2014-03-01","richmond",7,75,6
"2014-03-08","richmond",1,73,7
"2014-03-08","richmond",2,78,7
"2014-03-08","richmond",3,83,7
"2014-03-08","richmond",4,76,7
"2014-03-08","richmond",5,79,7
"2014-03-08","richmond",6,78,7
"2014-03-08","richmond",7,79,7
"2014-03-15","richmond",1,78,8
"2014-03-15","richmond",2,81,8
"2014-03-15","richmond",3,76,8
"2014-03-15","richmond",4,75,8
"2014-03-15","richmond",5,73,8
"2014-03-15","richmond",6,75,8
"2014-03-15","richmond",7,77,8
"2014-03-22","richmond",1,78,9
"2014-03-22","richmond",2,91,9
"2014-03-22","richmond",3,80,9
"2014-03-22","richmond",4,73,9
"2014-03-22","richmond",5,70,9
"2014-03-22","richmond",6,72,9
"2014-03-22","richmond",7,77,9
"2014-03-29","richmond",1,98,10
"2014-03-29","richmond",2,106,10
"2014-03-29","richmond",3,89,10
"2014-03-29","richmond",4,75,10
"2014-03-29","richmond",5,76,10
"2014-03-29","richmond",6,80,10
"2014-03-29","richmond",7,86,10
"2014-04-05","richmond",1,76,11
"2014-04-05","richmond",2,92,11
"2014-04-05","richmond",3,85,11
"2014-04-05","richmond",4,79,11
"2014-04-05","richmond",5,76,11
"2014-04-05","richmond",6,76,11
"2014-04-05","richmond",7,80,11
"2014-04-12","richmond",1,82,12
"2014-04-12","richmond",2,88,12
"2014-04-12","richmond",3,78,12
"2014-04-12","richmond",4,72,12
"2014-04-12","richmond",5,68,12
"2014-04-12","richmond",6,72,12
"2014-04-12","richmond",7,77,12
"2014-04-19","richmond",1,108,13
"2014-04-19","richmond",2,103,13
"2014-04-19","richmond",3,85,13
"2014-04-19","richmond",4,70,13
